,time,open,high,low,close,tick_volume,spread,real_volume
166,1717993800,2294.84,2296.32,2294.69,2296.22,273,19,0
167,1717993980,2296.19,2296.77,2295.67,2295.98,225,19,0
168,1717994160,2296.03,2296.59,2295.78,2296.43,197,19,0
169,1717994340,2296.33,2297.04,2295.99,2297.04,167,19,0
170,1717994520,2297.08,2297.48,2296.56,2297.22,162,19,0
171,1717994700,2297.2,2297.56,2296.48,2297.56,163,19,0
172,1717994880,2297.54,2297.92,2297.26,2297.88,235,19,0
173,1717995060,2297.88,2297.88,2297.06,2297.36,198,19,0
174,1717995240,2297.36,2297.47,2296.82,2297.14,227,19,0
175,1717995420,2297.25,2297.8,2296.45,2297.6,172,19,0
176,1717995600,2297.59,2297.74,2296.76,2297.09,135,19,0
177,1717995780,2297.09,2301.35,2296.86,2299.02,491,19,0
178,1717995960,2299.02,2299.28,2298.47,2298.49,200,19,0
179,1717996140,2298.49,2298.99,2298.34,2298.85,242,19,0
180,1717996320,2298.84,2300.16,2298.83,2299.76,233,19,0
181,1717996500,2299.78,2300.08,2299.04,2299.44,318,19,0
182,1717996680,2299.41,2299.94,2299.18,2299.43,208,19,0
183,1717996860,2299.43,2299.6,2298.83,2298.94,199,19,0
184,1717997040,2298.94,2298.95,2297.86,2298.42,223,19,0
185,1717997220,2298.42,2298.9,2298.21,2298.72,207,19,0
186,1717997400,2298.74,2298.86,2297.71,2297.88,221,19,0
187,1717997580,2297.89,2298.2,2297.4,2297.41,269,19,0
188,1717997760,2297.43,2297.43,2296.2,2296.71,299,19,0
189,1717997940,2296.71,2297.33,2296.06,2296.81,436,19,0
190,1717998120,2296.82,2297.27,2296.62,2297.17,189,19,0
191,1717998300,2297.18,2297.2,2296.38,2296.76,241,19,0
192,1717998480,2296.75,2296.96,2296.49,2296.71,138,19,0
193,1717998660,2296.63,2296.7,2295.99,2296.37,128,19,0
194,1717998840,2296.36,2296.37,2295.6,2295.66,105,19,0
195,1717999020,2295.66,2296.98,2295.47,2296.19,218,19,0
196,1717999200,2296.18,2296.33,2295.07,2296.25,254,19,0
197,1717999380,2296.27,2296.99,2296.11,2296.88,144,19,0
198,1717999560,2296.89,2297.41,2296.63,2297.41,195,19,0
199,1717999740,2297.4,2297.77,2297.34,2297.64,143,19,0
200,1717999920,2297.64,2297.68,2296.08,2296.09,156,19,0
201,1718000100,2296.1,2296.22,2294.85,2295.72,232,19,0
202,1718000280,2295.73,2295.89,2295.14,2295.45,196,19,0
203,1718000460,2295.45,2295.45,2294.81,2295.19,206,19,0
204,1718000640,2295.27,2295.64,2294.82,2295.56,197,19,0
205,1718000820,2295.56,2296.61,2295.56,2296.51,127,19,0
206,1718001000,2296.51,2296.7,2295.86,2296.05,211,19,0
207,1718001180,2296.04,2296.44,2295.56,2295.73,187,19,0
208,1718001360,2295.72,2296.36,2295.28,2296.19,176,19,0
209,1718001540,2296.19,2296.47,2295.66,2295.87,158,19,0
210,1718001720,2295.89,2296.22,2295.55,2295.72,165,19,0
211,1718001900,2295.72,2295.82,2295.22,2295.59,165,19,0
212,1718002080,2295.58,2295.8,2295.33,2295.53,130,19,0
213,1718002260,2295.63,2295.64,2295.03,2295.4,181,19,0
214,1718002440,2295.41,2295.82,2295.23,2295.54,116,19,0
215,1718002620,2295.51,2295.51,2294.82,2295.28,185,19,0
216,1718002800,2295.27,2295.4,2293.16,2293.23,280,19,0
217,1718002980,2293.28,2294.0,2293.07,2293.29,267,19,0
218,1718003160,2293.3,2293.6,2292.72,2293.41,167,19,0
219,1718003340,2293.4,2293.65,2292.69,2292.94,126,19,0
220,1718003520,2292.98,2294.03,2292.89,2294.02,156,19,0
221,1718003700,2294.02,2295.1,2293.71,2294.87,217,19,0
222,1718003880,2294.91,2295.66,2294.47,2294.47,230,19,0
223,1718004060,2294.49,2295.18,2294.0,2295.09,158,19,0
224,1718004240,2295.09,2295.63,2295.08,2295.26,159,19,0
225,1718004420,2295.28,2295.28,2294.85,2294.93,85,19,0
226,1718004600,2294.92,2295.2,2294.32,2294.93,170,19,0
227,1718004780,2295.14,2295.4,2294.33,2295.03,176,19,0
228,1718004960,2295.02,2295.48,2294.92,2295.34,135,19,0
229,1718005140,2295.27,2295.47,2294.65,2295.34,122,19,0
230,1718005320,2295.32,2295.78,2295.04,2295.44,155,19,0
231,1718005500,2295.47,2295.57,2293.93,2294.0,129,19,0
232,1718005680,2293.97,2294.51,2293.64,2294.51,167,19,0
233,1718005860,2294.5,2294.66,2294.15,2294.5,143,19,0
234,1718006040,2294.5,2294.71,2293.35,2293.58,141,19,0
235,1718006220,2293.59,2294.76,2293.59,2294.76,140,19,0
236,1718006400,2294.77,2295.53,2294.76,2295.15,241,19,0
237,1718006580,2295.16,2295.28,2293.7,2293.74,154,19,0
238,1718006760,2293.75,2294.1,2292.9,2293.03,150,19,0
239,1718006940,2292.99,2293.68,2292.82,2293.52,156,19,0
240,1718007120,2293.43,2293.76,2293.05,2293.54,182,19,0
241,1718007300,2293.53,2293.74,2292.05,2293.27,283,19,0
242,1718007480,2293.26,2294.88,2292.94,2294.7,186,19,0
